Full.Journal.Title	1997	1997_SCIE_SSCI	1998	1998_SCIE_SSCI	1999	1999_SCIE_SSCI	2000	2000_SCIE_SSCI	2001	2001_SCIE_SSCI	2002	2002_SCIE_SSCI	2003	2003_SCIE_SSCI	2004	2004_SCIE_SSCI	2005	2005_SCIE_SSCI	2006	2006_SCIE_SSCI	2007	2007_SCIE_SSCI	2008	2008_SCIE_SSCI	2009	2009_SCIE_SSCI	2010	2010_SCIE_SSCI	2011	2011_SCIE_SSCI	2012	2012_SCIE_SSCI	2013	2013_SCIE_SSCI	2014	2014_SCIE_SSCI	2015	2015_SCIE_SSCI	2016	2016_SCIE_SSCI	2017	2017_SCIE_SSCI
salud publica de mexico	144	144	204	204	234	234	262	262	217	217	260	260	357	357	393	393	481	481	542	542	647	647	934	934	909	909	1041	1041	991	991	1132	1132	1244	1244	1343	1343	1459	1459	1792	1792	1787	1787
nefrologia	116	116	221	221	216	216	277	277	305	305	270	270	250	250	311	311	390	390	517	517	450	450	639	639	560	560	628	628	694	694	715	715	773	773	902	902	914	914	961	961	1006	1006
saudi medical journal	219	219	283	283	262	262	243	243	300	300	410	410	395	395	562	562	559	559	779	779	1021	1021	1318	1318	1494	1494	1631	1631	1683	1683	1951	1951	1802	1802	1939	1939	2049	2049	2523	2523	2876	2876
modeling identification and control	52	52	60	60	55	55	79	79	60	60	59	59	56	56	44	44	76	76	81	81	NA	NA	NA	NA	110	110	158	158	155	155	170	170	228	228	249	249	243	243	353	353	383	383
revista de metalurgia	45	45	58	58	45	45	54	54	66	66	69	69	107	107	191	191	152	152	287	287	184	184	200	200	124	124	148	148	119	119	118	118	152	152	195	195	168	168	187	187	255	255
acta veterinaria brno	59	59	101	101	97	97	87	87	125	125	153	153	176	176	228	228	251	251	306	306	425	425	443	443	450	450	594	594	613	613	573	573	632	632	645	645	654	654	708	708	766	766
mathematical problems in engineering	6	6	27	27	39	39	37	37	40	40	51	51	61	61	68	68	93	93	164	164	183	183	301	301	345	345	672	672	778	778	1662	1662	2363	2363	3190	3190	4138	4138	7315	7315	10265	10265
journal of the south african institute of mining and metallurgy	151	151	125	125	135	135	127	127	133	133	124	124	94	94	134	134	108	108	165	165	174	174	182	182	220	220	257	257	352	352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dados-revista de ciencias sociais	12	12	36	36	21	21	39	39	37	37	43	43	33	33	44	44	40	40	64	64	40	40	68	68	102	102	75	75	95	95	66	66	74	74	79	79	95	95	204	204	295	295
zeitschrift fur kristallographie-new crystal structures	4	4	72	72	NA	NA	228	228	338	338	488	488	507	507	561	561	587	587	638	638	666	666	675	675	705	705	718	718	812	812	613	613	615	615	566	566	598	598	604	604	750	750
annual review of biochemistry	NA	16951	NA	17188	NA	16683	NA	16436	NA	16413	NA	16591	NA	16322	NA	16487	NA	16313	NA	16761	NA	16587	NA	16889	NA	17607	NA	18621	NA	18684	NA	19420	NA	20070	NA	19927	NA	19244	NA	19584	19873	19873
nature genetics	NA	25154	NA	30146	NA	34030	NA	38840	NA	42900	NA	44050	NA	46998	NA	49529	NA	52387	NA	54053	NA	57100	NA	61812	NA	69988	NA	76301	NA	76456	NA	81183	NA	81548	NA	85481	NA	86870	NA	88954	93641	93641
annual review of immunology	NA	10269	NA	11502	NA	11865	NA	12584	NA	13191	NA	13709	NA	13797	NA	14357	NA	14745	NA	15482	NA	15507	NA	15519	NA	15517	NA	16100	NA	15990	NA	15963	NA	16653	NA	16750	NA	17023	NA	17290	17086	17086
cell	NA	148744	NA	159685	NA	159955	NA	153747	NA	146225	NA	139765	NA	137333	NA	136472	NA	132371	NA	132528	NA	136514	NA	142064	NA	153972	NA	167591	NA	171297	NA	178762	NA	191226	NA	201108	NA	202467	NA	217952	230625	230625
nature medicine	NA	9597	NA	14875	NA	20043	NA	25436	NA	28481	NA	31696	NA	35913	NA	38657	NA	40386	NA	43664	NA	45986	NA	48632	NA	49928	NA	53666	NA	54228	NA	57350	NA	60002	NA	62572	NA	65230	NA	70491	75461	75461
new england journal of medicine	NA	119278	NA	129928	NA	134065	NA	135613	NA	139337	NA	143124	NA	152715	NA	159498	NA	167894	NA	177505	NA	186402	NA	205750	NA	216752	NA	227679	NA	232068	NA	245605	NA	257469	NA	268652	NA	283525	NA	315143	332831	332831
nature	NA	269100	NA	288026	NA	303563	NA	306184	NA	315640	NA	326546	NA	343528	NA	363374	NA	372784	NA	390690	NA	417228	NA	443967	NA	483039	NA	511248	NA	526505	NA	554745	NA	590324	NA	617363	NA	627846	NA	671254	710767	710767
science	NA	228945	NA	250327	NA	265921	NA	274443	NA	282431	NA	296080	NA	311593	NA	332803	NA	345991	NA	361389	NA	382472	NA	409290	NA	444643	NA	469815	NA	480836	NA	508489	NA	537035	NA	557558	NA	568210	NA	606635	645134	645134
endocrine reviews	NA	7365	NA	8169	NA	8308	NA	8346	NA	9254	NA	9219	NA	9604	NA	9919	NA	10851	NA	11205	NA	11635	NA	12548	NA	12727	NA	13093	NA	12765	NA	13166	NA	13623	NA	13143	NA	12433	NA	12768	12975	12975
annual review of neuroscience	NA	6023	NA	6463	NA	6824	NA	6708	NA	7063	NA	7348	NA	7925	NA	8093	NA	8563	NA	9139	NA	9652	NA	10132	NA	10990	NA	11465	NA	11948	NA	12638	NA	13345	NA	13226	NA	13125	NA	13211	13320	13320
immunity	NA	7518	NA	11211	NA	14065	NA	16013	NA	17694	NA	19541	NA	20385	NA	20967	NA	21730	NA	22744	NA	23873	NA	25824	NA	27330	NA	31635	NA	31337	NA	32546	NA	34787	NA	37232	NA	39637	NA	43303	46541	46541
pharmacological reviews	NA	6449	NA	6458	NA	6512	NA	6377	NA	6607	NA	6854	NA	7491	NA	7800	NA	7649	NA	8303	NA	8701	NA	9184	NA	8937	NA	9382	NA	9712	NA	10331	NA	11069	NA	11630	NA	11737	NA	12481	12719	12719
physiological reviews	NA	9737	NA	10693	NA	11061	NA	11675	NA	12222	NA	13016	NA	13475	NA	14671	NA	14943	NA	16209	NA	17051	NA	17865	NA	19371	NA	20265	NA	20735	NA	22537	NA	23974	NA	24528	NA	24788	NA	25952	27680	27680
annual review of cell and developmental biology	NA	5607	NA	6027	NA	6170	NA	6335	NA	6414	NA	6482	NA	6646	NA	6956	NA	7097	NA	7499	NA	7867	NA	8063	NA	8328	NA	8414	NA	8399	NA	8866	NA	9224	NA	9301	NA	8992	NA	9131	9812	9812
genes & development	NA	30074	NA	34625	NA	39351	NA	41132	NA	43875	NA	45227	NA	45989	NA	47892	NA	47853	NA	48407	NA	50192	NA	51077	NA	54044	NA	56715	NA	55857	NA	57627	NA	59234	NA	59511	NA	57109	NA	57493	57469	57469
trends in biochemical sciences	NA	13333	NA	14152	NA	14690	NA	14079	NA	14347	NA	14551	NA	14647	NA	15030	NA	14999	NA	15171	NA	14884	NA	14833	NA	14960	NA	14872	NA	15180	NA	15642	NA	15910	NA	15782	NA	15491	NA	16279	16944	16944
chemical reviews	NA	20121	NA	22682	NA	25361	NA	28055	NA	31092	NA	35148	NA	40466	NA	45129	NA	51878	NA	57509	NA	63207	NA	69560	NA	80350	NA	88391	NA	103702	NA	112596	NA	124463	NA	137600	NA	148154	NA	159155	174920	174920
microbiological reviews	NA	6781	NA	6906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
current opinion in cell biology	NA	8143	NA	10297	NA	11992	NA	12648	NA	12563	NA	12818	NA	12565	NA	12674	NA	12538	NA	12422	NA	12587	NA	12753	NA	13559	NA	13739	NA	13795	NA	13866	NA	14069	NA	13844	NA	13034	NA	13266	13339	13339
